AXT	RJSK	Akita Airport	Akita	39.615601	140.218994
AXU	HAAX	Axum Airport	Axum	14.1468	38.7728
AYJ	VEAY	Maharshi Valmiki International Airport	Faizabad	26.747736	82.163664
AYP	SPHO	Air Force Colonel Alfredo Mendivil Duarte Airport	Ayacucho	-13.1548	-74.204399
AYQ	YAYE	Ayers Rock Connellan Airport	Yulara	-25.185913	130.97703
AYT	LTAI	Antalya International Airport	Antalya	36.898701	30.800501
AZA	KIWA	Mesa Gateway Airport	Mesa	33.3078	-111.654999
AZD	OIYY	Shahid Sadooghi Airport	Yazd	31.9048995972	54.2765007019
AZN	UZFA	Andijan International Airport	Andijan	40.727699	72.293999
AZO	KAZO	Kalamazoo/Battle Creek International Airport	Kalamazoo	42.232105	-85.549637
AZR	DAUA	Touat-Cheikh Sidi Mohamed Belkebir Airport	Adrar	27.837601	-0.186414
AZS	MDCY	Samaná El Catey International Airport	Samana	19.269259	-69.737405
BAH	OBBI	Bahrain International Airport	Manama	26.267295	50.63764
BAL	LTCJ	Batman Airport	Batman	37.929001	41.1166
BAQ	SKBQ	Ernesto Cortissoz International Airport	Barranquilla	10.8896	-74.7808
BAR	ZJQH	Qionghai Bo'ao Airport	Qionghai (Basuo)	19.140951	110.452766
BAS	AGGE	Ballalae Airport	Ballalae	-6.990745	155.886656
BAV	ZBOW	Baotou Donghe International Airport	Baotou	40.560001	109.997002
BAX	UNBB	Barnaul Gherman Titov International Airport	Barnaul	53.361285	83.539701
BAY	LRBM	Maramureș International Airport	Tăuții-Măgherăuș	47.658444	23.464445
BAZ	SWBC	Barcelos Airport	Barcelos	-0.981191	-62.918603
BBA	SCBA	Balmaceda Airport	Balmaceda	-45.915968	-71.689499
BBG	NGTU	Butaritari Airport	Butaritari	3.08583	172.811005
BBI	VEBS	Biju Patnaik International Airport	Bhubaneswar	20.251021	85.814747
BBK	FBKE	Kasane International Airport	Kasane	-17.831653	25.166195
BBM	VDBG	Battambang Airport	Battambang	13.0956	103.223999
BBN	WBGZ	Bario Airport	Bario	3.734648	115.478548
BBO	HCMI	Berbera Airport	Berbera	10.385035	44.936723
BBQ	TAPB	Burton-Nibbs International Airport	Codrington	17.621194	-61.798347
BBR	TFFB	Basse-Terre Baillif Airport	Basse-Terre	16.013648	-61.742928
BBU	LRBS	Bucharest Băneasa Aurel Vlaicu International Airport	Bucharest	44.503133	26.102944
BCA	MUBA	Gustavo Rizo Airport	Baracoa	20.365299224853516	-74.5062026977539
BCD	RPVB	Bacolod-Silay International Airport	Bacolod City	10.776237	123.018879
BCH	WPEC	Baucau Airport	Baucau	-8.486479	126.399981
BCI	YBAR	Barcaldine Airport	Barcaldine	-23.566268	145.302086
BCM	LRBC	Bacău George Enescu International  Airport	Bacău	46.5219	26.910299
BCN	LEBL	Josep Tarradellas Barcelona-El Prat Airport	Barcelona	41.2971	2.07846
BCO	HABC	Jinka Airport	Jinka	5.749655	36.560165
BCU	DNBC	Sir Abubakar Tafawa Balewa Bauchi State International Airport	Bauchi	10.482833	9.744
BDA	TXKF	L.F. Wade International Airport	Hamilton	32.363802	-64.67824
BDB	YBUD	Bundaberg Airport	Bundaberg	-24.905039	152.322612
BDD	YBAU	Badu Island Airport	Badu Island	-10.14955	142.173665
BDH	OIBL	Bandar Lengeh International Airport	Bandar Lengeh	26.532283	54.82484
BDJ	WAOO	Syamsudin Noor International Airport	Banjarbaru	-3.440112	114.761209
BDL	KBDL	Bradley International Airport	Hartford	41.938555	-72.688016
BDO	WICC	Husein Sastranegara International Airport	Bandung	-6.90063	107.575996
BDP	VNCG	Bhadrapur Airport	Bhadrapur	26.5708007812	88.07959747310001
BDQ	VABO	Vadodara International Airport	Vadodara	22.336201	73.226303
BDS	LIBR	Brindisi Airport	Brindisi	40.6576	17.947001
BDT	FZFD	Gbadolite Airport	Gbadolite	4.252745	20.975271
BDU	ENDU	Bardufoss Airport	Målselv	69.055801	18.5404
BEB	EGPL	Benbecula Airport	Balivanich	57.481098	-7.36278
BED	KBED	Laurence G Hanscom Field	Bedford	42.470001	-71.289001
BEF	MNBL	Bluefields Airport	Bluefields	11.991	-83.774101
BEG	LYBE	Belgrade Nikola Tesla Airport	Belgrade	44.818401	20.309099
BEJ	WAQT	Kalimarau Airport	Tanjung Redeb - Borneo Island	2.14776	117.430705
BEK	VIBY	Bareilly Air Force Station	Bareilly	28.4221	79.450798
BEL	SBBE	Val de Cans/Júlio Cezar Ribeiro International Airport	Belém	-1.379279	-48.476207
BEM	GMMD	Beni Mellal Airport	Oulad Yaich	32.401895	-6.315905
BEN	HLLB	Benina International Airport	Benina	32.096802	20.269501
BER	EDDB	Berlin Brandenburg Airport	Berlin	52.361738	13.502341
BES	LFRB	Brest Bretagne airport	Brest	48.447899	-4.41854
BET	PABE	Bethel Airport	Bethel	60.77980042	-161.8379974
BEU	YBIE	Bedourie Airport	Bedourie	-24.3461	139.460007
BEW	FQBR	Beira International Airport	Beira	-19.7964	34.9076
BEY	OLBA	Beirut Rafic Hariri International Airport	Beirut	33.819833	35.487443
BFD	KBFD	Bradford Regional Airport	Bradford	41.8031005859375	-78.64009857177734
BFF	KBFF	Western Neb. Rgnl/William B. Heilig Airport	Scottsbluff	41.87400055	-103.5960007
BFI	KBFI	King County International Airport - Boeing Field	Seattle	47.527042	-122.29995
BFJ	ZUBJ	Bijie Feixiong Airport	Bijie	27.267066	105.472097
BFL	KBFL	Meadows Field	Bakersfield	35.433601	-119.056999
BFN	FABL	Bram Fischer International Airport	Bloemfontein	-29.092699	26.302401
BFQ		Bahia Piña Airport	Puerto Piña	7.58737	-78.179939
BFS	EGAA	Belfast International Airport	Belfast	54.6575012207	-6.2158298492399995
BFV	VTUO	Buri Ram Airport	Buriram	15.2295	103.252998
BFY	ZSBA	Bengbu Tenghu Airport	Bengbu	33.166292	117.058344
BGA	SKBG	Palonegro Airport	Bucaramanga	7.1265	-73.1848
BGC	LPBG	Bragança Airport	Bragança	41.8578	-6.70713
BGF	FEFF	Bangui M'Poko International Airport	Bangui	4.39848	18.518801
BGG	LTCU	Bingöl Airport	Bingöl	38.860131	40.594489
BGI	TBPB	Grantley Adams International Airport	Bridgetown	13.074667	-59.491034
BGK		Big Creek Airport	Big Creek	16.519369	-88.407913
BGM	KBGM	Greater Binghamton/Edwin A Link field	Binghamton	42.20869827	-75.97979736
BGO	ENBR	Bergen Airport, Flesland	Bergen	60.2934	5.21814
BGR	KBGR	Bangor International Airport	Bangor	44.806364	-68.826668
BGW	ORBI	Baghdad International Airport / New Al Muthana Air Base	Baghdad	33.262501	44.2346
BGY	LIME	Il Caravaggio International Airport	Orio al Serio (BG)	45.669362	9.708851
BHB	KBHB	Hancock County-Bar Harbor Airport	Bar Harbor	44.45000076	-68.3615036
BHD	EGAC	George Best Belfast City Airport	Belfast	54.618099	-5.8725
BHE	NZWB	Woodbourne Airport	Blenheim	-41.5182991027832	173.8699951171875
BHH	OEBH	Bisha Airport	Bisha	19.9844	42.620899
BHI	SAZB	Comandante Espora Airport	Bahía Blanca	-38.725	-62.1693
BHJ	VABJ	Bhuj Airport	Bhuj	23.2877998352	69.6701965332
BHK	UZSB	Bukhara International Airport	Bukhara	39.775319	64.482279
BHM	KBHM	Birmingham-Shuttlesworth International Airport	Birmingham	33.562877	-86.750712
BHO	VABP	Raja Bhoj International Airport	Bhopal	23.2875	77.337402
BHQ	YBHI	Broken Hill Airport	Broken Hill	-32.0013999939	141.472000122
BHR	VNBP	Bharatpur Airport	Bharatpur	27.678101	84.429398
BHS	YBTH	Bathurst Airport	Bathurst	-33.406817	149.651161
BHU	VABV	Bhavnagar Airport	Bhavnagar	21.752199173	72.1852035522
BHV	OPBW	Bahawalpur Airport	Bahawalpur	29.348100662231445	71.71800231933594
BHX	EGBB	Birmingham Airport	Birmingham, West Midlands	52.453899	-1.74803
BHY	ZGBH	Beihai Fucheng Airport	Beihai	21.538659	109.293683
BIA	LFKB	Bastia-Poretta International airport	Bastia	42.5527	9.48373
BID	KBID	Block Island State Airport	Block Island	41.168446	-71.578631
BIH	KBIH	Eastern Sierra Regional Airport	Bishop	37.3731	-118.363998
BIK	WABB	Frans Kaisiepo Airport	Biak	-1.19002	136.108002
BIL	KBIL	Billings Logan International Airport	Billings	45.808932	-108.541242
BIM	MYBS	South Bimini Airport	South Bimini	25.6998996735	-79.2647018433
BIO	LEBB	Bilbao Airport	Bilbao	43.301102	-2.91061
BIQ	LFBZ	Biarritz Pays Basque airport	Biarritz	43.468372	-1.523223
BIR	VNVT	Biratnagar Airport	Biratnagar	26.48150062561035	87.26399993896484
BIS	KBIS	Bismarck Municipal Airport	Bismarck	46.772734	-100.746874
BJA	DAAE	Soummam–Abane Ramdane Airport	Béjaïa	36.712547	5.069909
BJB	OIMN	Bojnord Airport	Bojnord	37.49300003051758	57.30820083618164
BJC	KBJC	Rocky Mountain Metropolitan Airport	Denver	39.908798	-105.116997
BJF	ENBS	Båtsfjord Airport	Båtsfjord	70.60025	29.692612
BJL	GBYD	Banjul International Airport	Banjul (Yundum)	13.338	-16.652201
BJM	HBBA	Bujumbura Melchior Ndadaye International Airport	Bujumbura	-3.32402	29.318501
BJR	HABD	Bahir Dar Airport	Bahir Dar	11.6081	37.321602
BJT		Bentota River Waterdrome	Bentota	6.431	79.996
BJV	LTFE	Milas Bodrum International Airport	Bodrum	37.249314	27.66401
BJX	MMLO	Guanajuato International Airport	Silao	20.992695	-101.480284
BJZ	LEBZ	Badajoz Airport	Badajoz	38.8913	-6.82133
BKC	PABL	Buckland Airport	Buckland	65.981598	-161.149002
BKF		Lake Brooks Seaplane Base	Katmai National Park	58.554798	-155.776993
BKG	KBBG	Branson Airport	Branson	36.532082	-93.200544
BKI	WBKK	Kota Kinabalu International Airport	Kota Kinabalu	5.932743	116.049324
BKK	VTBS	Suvarnabhumi Airport	Bangkok	13.6811	100.747002
BKM	WBGQ	Bakalalan Airport	Bakalalan	3.974	115.617996
BKN	UTAN	Balkanabat International Airport	Balkanabat	39.681052	54.206008
BKO	GABS	Modibo Keita International Airport	Bamako	12.5335	-7.94994
BKQ	YBCK	Blackall Airport	Blackall	-24.431678	145.429716
BKS	WIGG	Fatmawati Soekarno Airport	Bengkulu	-3.8637	102.338997
BKW	KBKW	Raleigh County Memorial Airport	Beaver	37.7873	-81.124199
BKZ	HTBU	Bukoba Airport	Bukoba	-1.332	31.8212
BLA	SVBC	General José Antonio Anzoategui International Airport	Barcelona	10.111111	-64.692222
BLB		Panamá Pacífico International Airport	Panamá City	8.91479	-79.599602
BLD		Boulder City Municipal Airport	Boulder City	35.947161	-114.858799
BLE	ESSD	Dala Airport	Borlange	60.422001	15.5152
BLI	KBLI	Bellingham International Airport	Bellingham	48.79280090332031	-122.53800201416016
BLJ	DABT	Batna Mostefa Ben Boulaid Airport	Batna	35.752102	6.30859
BLL	EKBI	Billund Airport	Billund	55.740335	9.157019
BLQ	LIPE	Bologna Guglielmo Marconi Airport	Bologna	44.5354	11.2887
